,,,,,,,,,,,,,,,,30,31,30,31,31,28,31,30,31,30,31,31,
Status,University ,Model,Area,Key Contant, Duration (Weeks) , Number of Students , Price per Student , Total ,Probability,Confirmed ,,Start,End, Days ,,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26,Apr-26,May-26,Jun-26,Jul-26,Aug-26,Check
Expand, High ,Nottingham Trent University ,0-Jan,Business School," Shelley Clark, Iain + Chris Harwood ", 12 ," £1,000.00 ", £99.00 ,9900000%,1/0/1900,1/0/1900,01/10/2025,31/07/2026, 304 ,, £-   , £49.50 , £-   , £-   , £-   , £-   , £-   , £49.50 , £-   , £-   , £-   , £-   , £-   
Expand, High ,Nottingham Trent University  ,Graduates,Central, Laura Pacey + Carla Campbell , 12 , £100.00 , £399.00 ,3990000%,1/1/1900,N,01/10/2025,31/07/2026, 304 ,, £-   , £199.50 , £-   , £-   , £-   , £-   , £-   , £199.50 , £-   , £-   , £-   , £-   , £-   
Expand, High ,Salford Business School,Hybrid,Business," Liz, Maria, Sandra ", 12 ," £1,000.00 ", £49.00 ,4990000%,1/1/1900,T,01/10/2025,31/07/2026, 304 ,, £-   , £24.50 , £-   , £-   , £-   , £-   , £-   , £24.50 , £-   , £-   , £-   , £-   , £-   
Land, High ,University of Leeds  ,PG,0-Jan, Greg Miller  , -   , £100.00 , £199.00 ,2000000%,1/0/1900,1/0/1900,01/10/2025,31/07/2026, 304 ,, £-   , £99.50 , £-   , £-   , £-   , £-   , £-   , £99.50 , £-   , £-   , £-   , £-   , £-   
Expand, High ,University of Leicester ,WBL,Humanities," Jo Wheldon,  ", 12 ," £1,600.00 ", £-   ,12000000%,1/0/1900,N,01/10/2025,31/07/2026, 304 ,, £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   
Expand, High ,University of Liverpool,Extra-curriclar,Entrepreneurship, Ben Dalton , 4 , £2.00 , £500.00 ,100000%,1/1/1900,N,01/10/2025,31/07/2026, 304 ,, £-   , £250.00 , £-   , £-   , £-   , £-   , £-   , £250.00 , £-   , £-   , £-   , £-   , £-   
Expand, High ,University of Stirling  ,Graduates,Central, Lynsey Joyce , 4 , £25.00 , £399.00 ,997500%,1/0/1900,N,01/10/2025,31/07/2026, 304 ,, £-   , £199.50 , £-   , £-   , £-   , £-   , £-   , £199.50 , £-   , £-   , £-   , £-   , £-   
,,,,,,,,,,,,01/10/2025,31/07/2026, 304 ,, £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   
,,,,,,,,,,,,01/10/2025,31/07/2026, 304 ,, £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   
,,,,,,,,,,,,01/10/2025,31/07/2026, 304 ,, £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   
,,,,,,,,,,,,01/10/2025,31/07/2026, 304 ,, £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   
,,,,,,,,,,,,01/10/2025,31/07/2026, 304 ,, £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   
,,,,,,,,,,,,01/10/2025,31/07/2026, 304 ,, £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   
,,,,,,,,,,,,01/10/2025,31/07/2026, 304 ,, £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   
,,,,,,,,,,,,01/10/2025,31/07/2026, 304 ,, £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   
,,,,,,,,,,,,01/10/2025,31/07/2026, 304 ,, £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   
,,,,,,,,,,,,01/10/2025,31/07/2026, 304 ,, £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   
,,,,,,,,,,,,01/10/2025,31/07/2026, 304 ,, £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   
,,,,,,,,,,,,01/10/2025,31/07/2026, 304 ,, £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   
,,,,,,,,,,,,01/10/2025,31/07/2026, 304 ,, £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   
,,,,,,,,,,,,01/10/2025,31/07/2026, 304 ,, £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   
,,,,,,,,,,,,01/10/2025,31/07/2026, 304 ,, £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   
,,,,,,,,,,,,01/10/2025,31/07/2026, 304 ,, £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   
,,,,,,,,,,,,01/10/2025,31/07/2026, 304 ,, £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   
,,,,,,,,,,,,01/10/2025,31/07/2026, 304 ,, £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   
,,,,,,,,,,,,01/10/2025,31/07/2026, 304 ,, £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   , £-   
